date,bank,tipo,buy,sell
2026-04-03,Scotiabank,Dólar (US) Canales Digitales*,58.1,61.8
2026-04-03,Scotiabank,Dólar (US) Sucursales,58.1,61.8
2026-04-03,Banreservas,,59.349999999999994,61.849999999999994
2026-04-03,Banco Popular,,58.05,61.95
2026-04-03,BHD,,58.4,61.9
2026-04-03,Banco Caribe,,59.2,61.7
2026-04-03,BDI,,58.75,61.8
2026-04-03,Vimenca,,59.3,61.9
2026-04-03,BLH,,58.4,61.8
2026-04-03,Banesco,,58.3,62
2026-04-03,Ademi,,58.5,61.5
2026-04-03,Quezada,,60.1,61.5
2026-04-03,Lafise,,58.4,61.9
2026-04-03,Promerica,,58.4,61.9
