date,time,entidad,compra,venta
2026-05-13,2026-05-13T20:47:50Z,Cambio Extranjero,59.15,
2026-05-13,2026-05-13T20:47:50Z,Asociación Romana,58.5,
2026-05-13,2026-05-13T20:47:50Z,RM,59,59.7
2026-05-13,2026-05-13T20:47:50Z,Taveras,59.25,59.9
2026-05-13,2026-05-13T20:47:50Z,Moneycorps,59.25,60
2026-05-13,2026-05-13T20:47:50Z,Panora Exchange,59.25,60
2026-05-13,2026-05-13T20:47:50Z,Gamelin,59,60
2026-05-13,2026-05-13T20:47:50Z,SCT,59.1,60.2
2026-05-13,2026-05-13T20:47:50Z,Motor Crédito,58.65,60.5
2026-05-13,2026-05-13T20:47:50Z,Abonap,57.730000000000004,60.790000000000006
2026-05-13,2026-05-13T20:47:50Z,Banco BHD,57.1,60.8
2026-05-13,2026-05-13T20:47:50Z,Bonanza Banco,58.5,60.8
2026-05-13,2026-05-13T20:47:50Z,Banreservas,57.8,60.8
2026-05-13,2026-05-13T20:47:50Z,Banco Caribe,58,60.8
2026-05-13,2026-05-13T20:47:50Z,Asociación Cibao de Ahorros y Préstamos,58.5,61
2026-05-13,2026-05-13T20:47:50Z,Banco Lafise,57.5,61
2026-05-13,2026-05-13T20:47:50Z,Banco Unión,58.5,61
2026-05-13,2026-05-13T20:47:50Z,Banesco,58,61
2026-05-13,2026-05-13T20:47:50Z,Asociación La Nacional de Ahorros y Préstamos,58,61
2026-05-13,2026-05-13T20:47:50Z,Asociación Popular de Ahorros y Préstamos,57.75,61
2026-05-13,2026-05-13T20:47:50Z,Asociación Peravia de Ahorros y Préstamos,58,61
